Costs,Total,Zone1,Zone2,Zone3
cTotal,2.1059615254166065e10,5.887839364158394e9,1.2445336637503504e10,2.6523402525045476e9
cFix,2.096730352247657e10,5.883901137827272e9,1.2435160725811954e10,2.648241658837343e9
cVar,1.4466417260442046e7,2.92370180130151e6,8.716575901062507e6,2.8261395580779184e6
cFuel,3.229409162198484e6,842065.9116486413,1.3007037636926898e6,1.0866394868571502e6
cNSE,0.0,0.0,0.0,0.0
cStart,516905.2672348078,172458.6181712576,158632.02679422405,185814.62226932612
cUnmetRsv,0.0,-,-,-
cNetworkExp,7.4099e7,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-
cCO2,0.0,0.0,0.0,0.0
